Current Official Name of Satellite,Country of Operator/Owner,Operator/Owner,Users,Purpose,Class of Orbit,Longitude of GEO (degrees),Perigee (km),Apogee (km),Eccentricity,Inclination (degrees),Period (minutes),Launch Mass (kg.),Date of Launch,Expected Lifetime (yrs.),Launch Site,Launch Vehicle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HEAD-2A,China,HEAD Aerospace,Commercial,Earth Observation,LEO,0.00,495,511,1.16E-03,97.30,94.6,45,12/7/19,,Taiyuan Launch Center,Kuaizhou 1A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HEAD-2B,China,HEAD Aerospace,Commercial,Earth Observation,LEO,0.00,495,511,1.16E-03,97.30,94.6,45,12/7/19,,Taiyuan Launch Center,Kuaizhou 1A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HEAD-4,China,HEAD Aerospace,Commercial,Earth Observation,LEO,0.00,487,502,1.09E-03,97.30,94.5,45,5/31/20,,Jiuquan Satellite Launch Center,Long March 2D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HEAD-5,China,HEAD Aerospace,Commercial,Earth Observation,LEO,0.00,485,502,1.24E-03,97.30,94.5,45,6/17/20,,Jiuquan Satellite Launch Center,Long March 2D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Helios 2A,France/Italy/Belgium/Spain/Greece,Centre National d'Etudes Spatiales (CNES)/Délégation Générale de l'Armement (DGA),Military,Earth Observation,LEO,0.00,681,683,1.42E-04,98.10,98,"4,200",12/18/04,5,Guiana Space Center,Ariane 5G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Helios 2B,France/Italy/Belgium/Spain/Greece,Centre National d'Etudes Spatiales (CNES)/Délégation Générale de l'Armement (DGA),Military,Earth Observation,LEO,0.00,679,682,2.13E-04,98.10,98.37,"4,200",12/18/09,5,Guiana Space Center,Ariane 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HellasSat 2,Greece,Hellas-Sat Consortium Ltd.,Commercial,Communications,GEO,39.06,"35,769","35,803",4.03E-04,0.01,1436.08,"3,300",5/12/03,15,Cape Canaveral,Atlas 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HellasSat 3,Greece/United Kingdom,Hellas-Sat Consortium Ltd./INMARSAT,Commercial,Communications,GEO,39.00,"35,685","35,788",1.22E-03,0.00,1436.1,"5,780",6/28/17,15,Guiana Space Center,Ariane 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hellas-Sat 4,Greece,Hellas-Sat Consortium Ltd.,Commercial/Government,Communications,GEO,39.00,"35,785","35,785",0.00E+00,0.01,1436.1,"6,495",2/5/19,15,Guiana Space Center,Ariane 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RHESSI (Reuven Ramaty High Energy Solar Spectroscopic Imager),USA,"Space Sciences Laboratory, UC Berkeley/NASA",Government/Civil,Space Science,LEO,0.00,535,551,1.16E-03,38.00,95.5,293,2/5/02,3,Cape Canaveral,Pegasus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hiber-1,Netherlands,Hiber Global,Commercial,Technology Development,LEO,0.00,476,500,1.75E-03,97.50,95,4,11/29/18,,Satish Dhawan Space Centre,PSLV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hiber-2,Netherlands,Hiber Global,Commercial,Technology Development,LEO,0.00,575,591,1.15E-03,97.70,96.3,7,12/3/18,,Vandenberg AFB,Falcon 9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Himawari 8,Japan,Japan Meteorological Agency/Meteorological Satellite Center (MSC),Government,Earth Observation,GEO,140.00,"35,774","35,797",2.73E-04,0.08,1436.06,"3,500",10/7/14,8,Tanegashima Space Center,H2A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Himawari 9,Japan,Japan Meteorological Agency/Meteorological Satellite Center (MSC),Government,Earth Observation,GEO,140.00,"35,788","35,799",1.30E-04,0.00,1436.1,"3,500",11/2/16,8,Tanegashima Space Center,H2A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hinode,Multinational,Institute of Space and Aeronautical Science/NASA,Government,Space Science,LEO,0.00,670,696,1.84E-03,98.10,98.4,700,10/22/06,3,Uchinoura Space Center,JAXA M-V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hisaki,Japan,Japan Aerospace Exploration Agency (JAXA),Government,Space Science,Elliptical,0.00,952,"1,155",1.37E-02,31.00,106.27,348,9/14/13,1,Uchinoura Space Center,Epsilon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hispasat 1D,Spain,Hispasat,Government/Commercial/Military,Communications,GEO,-29.95,"35,764","35,809",5.34E-04,0.02,1436.11,"3,288",9/18/02,15,Cape Canaveral,Atlas 2AS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hispasat 1E,Spain,Hispasat,Commercial,Communications,GEO,-30.00,"35,782","35,786",4.74E-05,0.07,1435.95,"5,320",12/29/10,15,Guiana Space Center,Ariane 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hispasat 30W-6,Spain,Hispasat,Commercial,Communications,GEO,-30.00,"35,786","35,788",2.37E-05,0.00,1436.11,"6,100",3/6/18,15,Cape Canaveral,Falcon 9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hispasat 36W-1,Spain,Hispasat,Commercial,Communications,GEO,-36.90,"35,783","35,791",9.49E-05,0.00,1436.1,"3,220",1/28/17,15,Guiana Space Center,Soyuz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HJ-1A,China,National Remote Sensing Center (NRSCC),Government,Earth Observation,LEO,0.00,628,665,2.64E-03,97.80,97.7,470,9/5/08,3,Taiyuan Launch Center,Long March 2C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HJ-1B,China,National Remote Sensing Center (NRSCC),Government,Earth Observation,LEO,0.00,621,673,3.71E-03,97.80,97.7,470,9/5/08,3,Taiyuan Launch Center,Long March 2C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HJ-1C,China,National Committee for Disaster Reduction and State Environmental Protection,Government,Earth Observation,LEO,0.00,420,438,1.32E-03,97.33,94.53,890,11/18/12,3,Taiyuan Launch Center,Long March 2C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hodoyoshi-1,Japan,University of Tokyo and NESTRA,Government,Earth Observation,LEO,0.00,506,525,1.38E-03,97.48,94.93,65,11/6/14,,Dombarovsky Air Base,Dnepr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hodoyoshi-3,Japan,University of Tokyo and NESTRA,Government,Technology Development,LEO,0.00,613,666,3.78E-03,97.98,97.51,60,6/19/14,,Dombarovsky Air Base,Dnepr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hodoyoshi-4,Japan,University of Tokyo and NESTRA,Government,Technology Development,LEO,0.00,613,650,2.64E-03,97.99,97.35,60,6/19/14,,Dombarovsky Air Base,Dnepr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hongyan-1,China,China Aerospace Science and Technology Corporation (CASC),Government,Communications,LEO,0.00,"1,090","1,098",5.36E-04,50.00,107.1,,12/29/18,,Jiuquan Satellite Launch Center,Long March 2D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hongyun-1,China,China Aerospace Science and Industry Corporation (CASIC),Commercial,Technology Development,LEO,0.00,"1,061","1,077",1.08E-03,99.92,106.59,,12/21/18,,Jiuquan Satellite Launch Center,Long March 11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Horizons 2,USA/Japan,"Horizons 2 Satellite, LLC (Intelsat, Sky Perfect JSAT Corporation)",Commercial,Communications,GEO,85.00,"35,777","35,796",2.25E-04,0.00,1436.1,"2,300",12/21/07,15,Guiana Space Center,Ariane 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Horizons 3e,USA/Japan,"Horizons 2 Satellite, LLC (Intelsat, Sky Perfect JSAT Corporation)",Commercial,Communications,GEO,169.00,"35,789","35,798",1.07E-04,0.00,1436.1,"6,500",9/25/18,15,Guiana Space Center,Ariane 5 ECA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Horyu-2,Japan,Kyushu Institute of Technology (KIT),Civil,Technology Development,LEO,0.00,650,669,1.35E-03,98.20,97.9,7,5/17/12,1,Tanegashima Space Center,H2A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HSAT-1,USA,Harris Corporation,Commercial,Communications,LEO,0.00,476,500,1.75E-03,97.40,95,4,11/29/18,,Satish Dhawan Space Centre,PSLV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Huangpu-1,China,Shanghai Lizheng Satellite Application Technology,Commercial,Communications,LEO,0.00,485,504,1.38E-03,97.50,94.5,50,11/3/19,,Taiyuan Launch Center,Long March 4B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hubble Space Telescope,ESA/USA,European Space Agency (ESA)/NASA,Government,Space Science,LEO,0.00,555,559,2.89E-04,28.50,95.8,"11,110",4/25/90,10,Cape Canaveral,Space Shuttle (STS 31),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Huia'an,China,Huaian Youth Comprehensive Development Base,Civil,Technology Development,LEO,0.00,529,547,1.30E-03,97.50,95.4,3,1/18/18,,Jiuquan Satellite Launch Center,Long March 11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Huskysat-1,USA,University of Washington,Civil,Technology Development,LEO,0.00,459,474,1.10E-03,51.60,93.9,5,1/31/20,,Cygnus,Nanoracks Deployer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HXMT,China,National Space Science Center (NSSC),Government,Space Science,LEO,0.00,536,545,6.51E-04,43.02,95.4,"2,500",6/15/17,4,Jiuquan Satellite Launch Center,Long March 4B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HYLAS 4,United Kingdom,"Avanti Communications, PLC",Commercial,Communications,GEO,21.27,"35,778","35,795",2.02E-04,0.00,1436.1,"4,050",4/5/18,15,Guiana Space Center,Ariane 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HYLAS 1,United Kingdom,"Avanti Communications, PLC",Commercial,Communications,GEO,-33.50,"35,770","35,803",3.91E-04,0.01,1436.07,"2,242",11/26/10,15,Guiana Space Center,Ariane 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HYLAS 2,United Kingdom,"Avanti Communications, PLC",Commercial,Communications,GEO,33.50,"35,775","35,799",2.85E-04,0.06,1436.14,"3,311",8/2/12,15,Guiana Space Center,Ariane 5 ECA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HySIS,India,Indian Space Research Organization (ISRO),Government,Earth Observation,LEO,0.00,647,648,7.13E-05,98.00,95,380,11/29/18,5,Satish Dhawan Space Centre,PSLV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Icesat-2,USA,National Aeronautics and Space Administration (NASA),Government,Earth Science,LEO,0.00,455,468,9.51E-04,93.02,93.8,"1,515",9/15/18,3,Vandenberg AFB,Delta 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICEYE-X2,Finland,ICEYE Ltd.,Commercial,Earth Observation,LEO,0.00,570,587,1.22E-03,97.70,96.3,80,12/3/18,,Vandenberg AFB,Falcon 9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICEYE-X3,USA,US Army Space and Missile Defense Command,Military,Technology Development,LEO,0.00,498,510,8.73E-04,40.02,94.7,150,5/5/19,,Rocket Lab Launch Complex 1,Electron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICEYE-X4,Finland,ICEYE Ltd.,Commercial,Earth Observation,LEO,0.00,564,594,2.16E-03,97.70,96.2,80,7/5/19,,Vostochny Cosmodrome,Soyuz 2.1b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICEYE-X5,Finland,ICEYE Ltd.,Commercial,Earth Observation,LEO,0.00,564,590,1.87E-03,97.70,96.2,80,7/5/19,,Vostochny Cosmodrome,Soyuz 2.1b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICON,USA,National Aeronautics and Space Administration (NASA),Government,Space Science,LEO,0.00,579,601,1.58E-03,27.00,96.5,288,10/11/19,,Stargazer L-1011,Pegasus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IGS Optical 5,Japan,Cabinet Satellite Intelligence Center (CSIC),Government,Earth Observation,LEO,0.00,511,515,2.91E-04,97.50,95.2,"1,600",3/26/15,5,Tanegashima Space Center,H2A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IGS Optical 6,Japan,Cabinet Satellite Intelligence Center (CSIC),Government,Earth Observation,LEO,0.00,485,499,1.02E-03,97.20,94.5,"1,600",2/26/18,5,Tanegashima Space Center,H2A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IGS Optical 7,Japan,Cabinet Satellite Intelligence Center (CSIC),Government,Earth Observation,LEO,0.00,487,493,4.37E-04,97.40,94.4,"1,600",2/9/20,5,Tanegashima Space Center,H2A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
